disease,drug,relation,alpha_iii,beta_iii,post_mean_iii,n_eff_iii,alpha_ivvi,beta_ivvi,post_mean_ivvi,n_eff_ivvi,ceg
lupus erythematosus,methylprednisolone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,mometasone furoate,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,prednicarbate,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,prednisolone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,triamcinolone,indication,11.9102,0.5000,0.9597,12.41,11.5018,0.5000,0.9583,12.00,nan
lupus erythematosus,quinacrine,off-label use,6.5075,5.9027,0.5244,12.41,6.3033,5.6985,0.5252,12.00,nan
lupus erythematosus,thalidomide,off-label use,6.5075,5.9027,0.5244,12.41,6.3033,5.6985,0.5252,12.00,nan
lyme disease,cefuroxime,indication,10.5596,0.5000,0.9548,11.06,6.7713,0.5000,0.9312,7.27,nan
lyme disease,amoxicillin,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,benzylpenicillin,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,cefotaxime,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,ceftriaxone,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,clarithromycin,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,doxycycline,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,erythromycin,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,fusidic acid,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lyme disease,phenoxymethylpenicillin,off-label use,5.8322,5.2274,0.5273,11.06,3.9381,3.3332,0.5416,7.27,nan
lymphangioma,propranolol,indication,9.5142,0.5000,0.9501,10.01,7.6965,0.5000,0.9390,8.20,nan
melanoma,hydroxyurea,indication,11.4344,0.5000,0.9581,11.93,9.6858,0.5000,0.9509,10.19,nan
melanoma,interferon alfa-2b,indication,11.4344,0.5000,0.9581,11.93,9.6858,0.5000,0.9509,10.19,nan
melanoma,talimogene laherparepvec,indication,11.4344,0.5000,0.9581,11.93,9.6858,0.5000,0.9509,10.19,nan
melanoma,vindesine,indication,11.4344,0.5000,0.9581,11.93,9.6858,0.5000,0.9509,10.19,nan
mongolian spot,acitretin,off-label use,2.1048,1.5000,0.5839,3.60,1.1048,0.5000,0.6884,1.60,nan
mongolian spot,tretinoin,off-label use,2.1048,1.5000,0.5839,3.60,1.1048,0.5000,0.6884,1.60,nan
mycetoma,posaconazole,indication,3.1048,0.5000,0.8613,3.60,4.9967,0.5000,0.9090,5.50,nan
mycetoma,dapsone,off-label use,2.1048,1.5000,0.5839,3.60,3.0507,2.4459,0.5550,5.50,nan
myiasis,pyrimethamine,indication,8.1576,0.5000,0.9422,8.66,6.8856,0.5000,0.9323,7.39,nan
myiasis,sulfadiazine,indication,8.1576,0.5000,0.9422,8.66,6.8856,0.5000,0.9323,7.39,nan
myiasis,sulfamethoxazole,indication,8.1576,0.5000,0.9422,8.66,6.8856,0.5000,0.9323,7.39,nan
myiasis,atovaquone,off-label use,4.6312,4.0264,0.5349,8.66,3.9952,3.3904,0.5409,7.39,nan
myiasis,clindamycin,off-label use,4.6312,4.0264,0.5349,8.66,3.9952,3.3904,0.5409,7.39,nan
myiasis,dapsone,off-label use,4.6312,4.0264,0.5349,8.66,3.9952,3.3904,0.5409,7.39,nan
necrobiosis lipoidica,triamcinolone,indication,9.8689,0.5000,0.9518,10.37,8.6732,0.5000,0.9455,9.17,nan
neurodermatitis,amcinonide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,betamethasone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,cortisone acetate,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,desonide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,desoximetasone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,dexamethasone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,doxepin,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,flumethasone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,fluocinolone acetonide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,fluocinonide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,flurandrenolide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,fluticasone propionate,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,halcinonide,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,hydrocortisone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,methylprednisolone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,mometasone furoate,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,prednicarbate,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,prednisolone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,triamcinolone,indication,9.1909,0.5000,0.9484,9.69,6.0747,0.5000,0.9240,6.57,nan
neurodermatitis,diiodohydroxyquinoline,off-label use,5.1479,4.5431,0.5312,9.69,3.5897,2.9849,0.5460,6.57,nan
neurodermatitis,hydrocortisone acetate,off-label use,5.1479,4.5431,0.5312,9.69,3.5897,2.9849,0.5460,6.57,nan
neurofibromatosis,selumetinib,indication,9.4536,0.5000,0.9498,9.95,10.7454,0.5000,0.9555,11.25,nan
oral candidiasis,amphotericin b,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,clotrimazole,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,fluconazole,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,hachimycin,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,ketoconazole,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,nystatin,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
oral candidiasis,posaconazole,indication,3.1048,0.5000,0.8613,3.60,4.3237,0.5000,0.8963,4.82,nan
palmoplantar keratoderma,salicylic acid,indication,3.8774,0.5000,0.8858,4.38,8.4320,0.5000,0.9440,8.93,nan
palmoplantar keratoderma,tretinoin,indication,3.8774,0.5000,0.8858,4.38,8.4320,0.5000,0.9440,8.93,nan
palmoplantar keratoderma,urea,off-label use,2.4911,1.8863,0.5691,4.38,4.7684,4.1636,0.5339,8.93,nan
psoriasis,allantoin,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,ammonia,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,betamethasone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,cortisone acetate,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,dexamethasone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,etretinate,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,fumaric acid,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,hydrocortisone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,hydrocortisone acetate,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,methotrexate,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,methylprednisolone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,prednisolone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,prednisone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,risankizumab,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,tazarotene,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,triamcinolone,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,ustekinumab,indication,13.4855,0.5000,0.9642,13.99,12.4788,0.5000,0.9615,12.98,nan
psoriasis,anthralin,off-label use,7.2952,6.6903,0.5216,13.99,6.7918,6.1870,0.5233,12.98,nan
psoriasis,calcipotriol,off-label use,7.2952,6.6903,0.5216,13.99,6.7918,6.1870,0.5233,12.98,nan
psoriasis,triethylenetetramine,off-label use,7.2952,6.6903,0.5216,13.99,6.7918,6.1870,0.5233,12.98,nan
pustular psoriasis,maxacalcitol,indication,8.4826,0.5000,0.9443,8.98,6.5209,0.5000,0.9288,7.02,nan
pyoderma gangrenosum,clofazimine,indication,1.1048,0.5000,0.6884,1.60,3.3021,0.5000,0.8685,3.80,nan
pyoderma gangrenosum,dapsone,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
pyoderma gangrenosum,sulfapyridine,off-label use,1.1048,0.5000,0.6884,1.60,2.2034,1.5986,0.5795,3.80,nan
rosacea,azelaic acid,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,brimonidine,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,cortisone acetate,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,dexamethasone,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,fluorometholone,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,fusidic acid,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,hydrocortisone,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,loteprednol etabonate,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,medrysone,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,metronidazole,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,prednisolone,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,tobramycin,indication,10.2126,0.5000,0.9533,10.71,5.7100,0.5000,0.9195,6.21,nan
rosacea,amphotericin b,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,chlortetracycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,clindamycin,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,demeclocycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,doxycycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,fusidic acid,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,meclocycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,minocycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,oxytetracycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,sulfacetamide,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,tetracycline,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
rosacea,urea,off-label use,5.6587,5.0539,0.5282,10.71,3.4074,2.8026,0.5487,6.21,nan
sarcoidosis,betamethasone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,cortisone acetate,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,dexamethasone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,hydrocortisone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,hydrocortisone acetate,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,methylprednisolone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,prednisolone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,prednisone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
sarcoidosis,triamcinolone,indication,12.1074,0.5000,0.9603,12.61,10.1914,0.5000,0.9532,10.69,nan
scabies,crotamiton,indication,11.7703,0.5000,0.9593,12.27,12.4377,0.5000,0.9614,12.94,nan
scabies,lidocaine,indication,11.7703,0.5000,0.9593,12.27,12.4377,0.5000,0.9614,12.94,nan
scabies,lindane,indication,11.7703,0.5000,0.9593,12.27,12.4377,0.5000,0.9614,12.94,nan
scabies,permethrin,indication,11.7703,0.5000,0.9593,12.27,12.4377,0.5000,0.9614,12.94,nan
scabies,phenothrin,indication,11.7703,0.5000,0.9593,12.27,12.4377,0.5000,0.9614,12.94,nan
seborrheic dermatitis,allantoin,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,amcinonide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,ammonia,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,ammonium lactate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,benzoyl peroxide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,betamethasone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,chloroxine,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,ciclopirox,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,climbazole,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,clobetasol propionate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,cortisone acetate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,desonide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,desoximetasone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,dexamethasone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,flumethasone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,fluocinolone acetonide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,fluocinonide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,flurandrenolide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,fluticasone propionate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,fusidic acid,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,halcinonide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,hydrocortisone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,ketoconazole,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,methylprednisolone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,mometasone furoate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,prednicarbate,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,prednisolone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,racementhol,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,salicylic acid,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,selenium sulfide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,sulfacetamide,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,triamcinolone,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,urea,indication,10.5772,0.5000,0.9549,11.08,9.7130,0.5000,0.9510,10.21,nan
seborrheic dermatitis,cortisone acetate,off-label use,5.8410,5.2362,0.5273,11.08,5.4089,4.8041,0.5296,10.21,nan
seborrheic dermatitis,hydrocortisone,off-label use,5.8410,5.2362,0.5273,11.08,5.4089,4.8041,0.5296,10.21,nan
seborrheic dermatitis,mupirocin,off-label use,5.8410,5.2362,0.5273,11.08,5.4089,4.8041,0.5296,10.21,nan
seborrheic keratosis,allantoin,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,amcinonide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,aminolevulinic acid,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,ammonia,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,ammonium lactate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,benzoyl peroxide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,betamethasone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,chloroxine,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,ciclopirox,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,climbazole,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,clobetasol propionate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,cortisone acetate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,desonide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,desoximetasone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,dexamethasone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,dexpanthenol,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,diclofenac,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,flumethasone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,fluocinolone acetonide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,fluocinonide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,fluorouracil,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,flurandrenolide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,fluticasone propionate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,halcinonide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,hydrocortisone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,imiquimod,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,ingenol mebutate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,ketoconazole,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,masoprocol,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,methylprednisolone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,mometasone furoate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,prednicarbate,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,prednisolone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,prednisone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,racementhol,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,salicylic acid,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,selenium sulfide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,sulfacetamide,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,triamcinolone,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
seborrheic keratosis,urea,indication,9.1195,0.5000,0.9480,9.62,7.2869,0.5000,0.9358,7.79,nan
squamous cell carcinoma,bleomycin,indication,13.1126,0.5000,0.9633,13.61,10.9593,0.5000,0.9564,11.46,nan
squamous cell carcinoma,cemiplimab,indication,13.1126,0.5000,0.9633,13.61,10.9593,0.5000,0.9564,11.46,nan
squamous cell carcinoma,cetuximab,indication,13.1126,0.5000,0.9633,13.61,10.9593,0.5000,0.9564,11.46,nan
squamous cell carcinoma,temoporfin,indication,13.1126,0.5000,0.9633,13.61,10.9593,0.5000,0.9564,11.46,nan
syphilis,amphotericin b,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,benzylpenicillin,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,demeclocycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,doxycycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,erythromycin,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,fusidic acid,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,meclocycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,minocycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,oxytetracycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,procaine benzylpenicillin,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
syphilis,tetracycline,indication,1.1048,0.5000,0.6884,1.60,3.8774,0.5000,0.8858,4.38,nan
tinea corporis,benzocaine,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,betamethasone,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,butenafine,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,ciclopirox,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,clioquinol,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,clotrimazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,cortisone acetate,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,econazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,griseofulvin,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,haloprogin,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,hydrocortisone,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,ketoconazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,luliconazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,miconazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,naftifine,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,oxiconazole,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
tinea corporis,pramocaine,indication,9.7398,0.5000,0.9512,10.24,12.1478,0.5000,0.9605,12.65,nan
